2024-09-24 16:31:19,363 - INFO - Logger setup complete. Logging to both file and console.
2024-09-24 16:31:19,365 - INFO - Processing train dataset.
2024-09-24 16:31:19,366 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,367 - INFO - Checking outliers for column: Sales
2024-09-24 16:31:19,430 - INFO - Found 26694 outliers in column Sales.
2024-09-24 16:31:19,628 - INFO - Outliers removed from column Sales.
2024-09-24 16:31:19,628 - INFO - Checking outliers for column: Customers
2024-09-24 16:31:19,667 - INFO - Found 22641 outliers in column Customers.
2024-09-24 16:31:19,743 - INFO - Outliers removed from column Customers.
2024-09-24 16:31:19,745 - INFO - Processing test dataset.
2024-09-24 16:31:19,746 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,747 - INFO - Processing store dataset.
2024-09-24 16:31:19,748 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,749 - INFO - Checking outliers for column: CompetitionDistance
2024-09-24 16:31:19,752 - INFO - Found 108 outliers in column CompetitionDistance.
2024-09-24 16:31:19,772 - INFO - Outliers removed from column CompetitionDistance.
2024-09-24 16:31:19,784 - INFO - Checking promotion distribution between training and test sets.
2024-09-24 16:31:19,788 - INFO - Plotting the promotion distribution for the training and test sets.
2024-09-24 16:31:22,298 - INFO - Calculating normalized promotion distribution for both datasets.
2024-09-24 16:31:22,319 - INFO - Training Set Promotion Distribution (Normalized):
Promo
0    0.629301
1    0.370699
Name: proportion, dtype: float64
2024-09-24 16:31:22,320 - INFO - Test Set Promotion Distribution (Normalized):
Promo
0    0.604167
1    0.395833
Name: proportion, dtype: float64
2024-09-24 16:31:22,322 - INFO - Percentage Difference in Promotion Distribution:
Promo
0    0.025134
1    0.025134
Name: proportion, dtype: float64
2024-09-24 16:31:22,331 - INFO - Merging the train and store datasets on the 'Store' column.
2024-09-24 16:31:22,617 - INFO - Merge completed. The merged dataset has 871135 rows and 18 columns.
2024-09-24 16:31:23,146 - INFO - Starting sales behavior analysis around holidays.
2024-09-24 16:31:23,263 - INFO - Converted date column to datetime format.
2024-09-24 16:31:23,327 - INFO - Identified 534 holiday dates.
2024-09-24 16:31:23,364 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,386 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,406 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,428 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,449 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,471 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,492 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,512 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,537 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,559 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,579 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,607 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,629 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,648 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,670 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,691 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,711 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,738 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,758 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,778 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,799 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,823 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,849 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,868 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,889 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,911 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,930 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,953 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,975 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:23,995 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,018 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,038 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,056 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,076 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,097 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,115 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,135 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,157 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,177 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,196 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,214 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,234 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,256 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,276 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,297 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,318 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,337 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,358 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,380 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,403 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,421 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,440 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,460 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,481 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,501 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,520 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,540 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,560 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,580 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,607 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,625 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,644 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,665 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,686 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,704 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,729 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,748 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,769 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,789 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,808 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,830 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,850 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,870 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,890 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,910 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,928 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,949 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,968 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:24,991 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,010 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,030 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,052 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,072 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,093 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,114 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,135 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,158 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,178 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,202 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,228 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,253 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,279 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,307 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,335 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,365 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,396 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,428 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,458 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,488 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,521 - INFO - Marked periods before, during, and after each holiday.
